time,pipeline,activity,eventName,vesselId,wharf,wharfmark_start,wharfmark_end,LOA,discharging,loading,num_of_qc
18970.24,Wharf,Berthing,OnStart,V0027,wharf_N,46.52,371.42,294.88,1698,2085,4
20433.95,Wharf,Berthing,OnStart,V0031,wharf_N,3575.06,3725.62,84.55,53,482,1
20578.0,Wharf,Berthing,OnReadyToDepart,V0013,,,,,,,0
21324.0,Wharf,Berthing,OnReadyToDepart,V0019,,,,,,,0
21543.47,Wharf,Berthing,OnReadyToDepart,V0034,,,,,,,0
22520.31,Wharf,Berthing,OnReadyToDepart,V0025,,,,,,,0
22820.93,Wharf,Berthing,OnStart,V0044,wharf_S,2990.53,3348.53,327.94,2375,903,4
23122.14,Wharf,Berthing,OnReadyToDepart,V0042,,,,,,,0
23346.89,Wharf,Berthing,OnReadyToDepart,V0020,,,,,,,0
23578.38,Wharf,Berthing,OnReadyToDepart,V0038,,,,,,,0
23748.24,Wharf,Berthing,OnReadyToDepart,V0024,,,,,,,0
24591.31,Wharf,Berthing,OnStart,V0032,wharf_N,3172.11,3535.21,333.02,2182,603,4
25875.37,Wharf,Berthing,OnStart,V0040,wharf_N,421.23,715.13,263.88,1640,495,4
25891.51,Wharf,Berthing,OnReadyToDepart,V0028,,,,,,,0
26476.66,Wharf,Berthing,OnReadyToDepart,V0030,,,,,,,0
27552.47,Wharf,Berthing,OnReadyToDepart,V0036,,,,,,,0
28173.86,Wharf,Berthing,OnReadyToDepart,V0010,,,,,,,0
28471.27,Wharf,Berthing,OnReadyToDepart,V0023,,,,,,,0
29380.79,Wharf,Berthing,OnReadyToDepart,V0031,,,,,,,0
29764.9,Wharf,Berthing,OnReadyToDepart,V0039,,,,,,,0
30174.68,Wharf,Berthing,OnReadyToDepart,V0029,,,,,,,0
32547.93,Wharf,Berthing,OnReadyToDepart,V0033,,,,,,,0
32678.93,Wharf,Berthing,OnReadyToDepart,V0035,,,,,,,0
33520.91,Wharf,Berthing,OnReadyToDepart,V0040,,,,,,,0
33871.18,Wharf,Berthing,OnReadyToDepart,V0027,,,,,,,0
34342.7,Wharf,Berthing,OnReadyToDepart,V0032,,,,,,,0
